2026-04-02T18:02:53.346+0700	INFO	repository/image.go:60	image created successfully	{"id": 144, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127774/debian/products/gallery/ekbiyviumks7pi2lmbxi.jpg"}
2026-04-02T18:02:53.414+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T18:03:19.340+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:07:42.329+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:09:40.943+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:10:59.231+0700	INFO	repository/image.go:47	Creating image	{"product_id": 50, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775139060/debian/products/gallery/nodvskzl1wzddgtwuoxm.jpg"}
2026-04-02T21:10:59.386+0700	INFO	repository/image.go:60	image created successfully	{"id": 145, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775139060/debian/products/gallery/nodvskzl1wzddgtwuoxm.jpg"}
2026-04-02T21:11:00.874+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:11:34.712+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:13:33.686+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:27:36.847+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:29:14.577+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:30:15.761+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:31:07.666+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:31:31.105+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:32:14.630+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:35:18.653+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:36:11.735+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:36:34.953+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:37:14.161+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:37:41.495+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:38:18.486+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:38:42.060+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:38:48.312+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:39:03.190+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T21:39:38.701+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
